time	replicate	inc_temp	ppmv	nmol_l	gas	soil_type
360	1	13	-0.0935416	NA	CO	unwarmed
0	2	13	10.76555405	458.485089482186	CO	unwarmed
1	2	13	10.04129646	427.640294647005	CO	unwarmed
2	2	13	9.389381176	399.876425186005	CO	unwarmed
4	2	13	8.489100374	361.535126433799	CO	unwarmed
8	2	13	6.666028239	283.893846935699	CO	unwarmed
24	2	13	2.058029352	87.647673981878	CO	unwarmed
48	2	13	0.085673793	NA	CO	unwarmed
72	2	13	NA	NA	CO	unwarmed
120	2	13	NA	NA	CO	unwarmed
240	2	13	NA	NA	CO	unwarmed
360	2	13	NA	NA	CO	unwarmed
0	4	13	10.8321214	461.320070132471	CO	unwarmed
1	4	13	10.4316419	444.264386928383	CO	unwarmed
2	4	13	10.0685952	428.802897629956	CO	unwarmed
4	4	13	9.58165117	408.064849580551	CO	unwarmed
8	4	13	8.55890885	364.508140662034	CO	unwarmed
24	4	13	5.17976165	220.596494390054	CO	unwarmed
48	4	13	1.7821152	75.8969991832018	CO	unwarmed
72	4	13	0.2513445	NA	CO	unwarmed
120	4	13	NA	NA	CO	unwarmed
240	4	13	NA	NA	CO	unwarmed
360	4	13	NA	NA	CO	unwarmed
0	5	13	10.3971562	442.795704575676	CO	unwarmed
1	5	13	8.96952899	381.995695018894	CO	unwarmed
2	5	13	7.7442674	329.814063946201	CO	unwarmed
4	5	13	6.02870407	256.751386148637	CO	unwarmed
8	5	13	2.86487192	122.00961069869	CO	unwarmed
24	5	13	NA	NA	CO	unwarmed
48	5	13	NA	NA	CO	unwarmed
72	5	13	NA	NA	CO	unwarmed
120	5	13	NA	NA	CO	unwarmed
240	5	13	-0.07405	NA	CO	unwarmed
360	5	13	NA	NA	CO	unwarmed
0	1	19	15.00328563	625.839640936817	CH4	warmed
1	1	19	12.4584423	519.685304135881	CH4	warmed
2	1	19	12.47935904	520.557814689503	CH4	warmed
4	1	19	12.17762826	507.971566072253	CH4	warmed
8	1	19	12.08723789	504.20106685628	CH4	warmed
24	1	19	11.74143407	489.776377232919	CH4	warmed
48	1	19	11.11227736	463.532045211934	CH4	warmed
72	1	19	10.39239451	433.50320783116	CH4	warmed
120	1	19	8.25737356	344.443999222293	CH4	warmed
240	1	19	4.9264479	205.499412652983	CH4	warmed
360	1	19	2.90222137	121.061827716464	CH4	warmed
480	1	19	1.73931422	NA	CH4	warmed
600	1	19	1.05180407	NA	CH4	warmed
720	1	19	0.65349822	NA	CH4	warmed
840	1	19	0.24949733	NA	CH4	warmed
0	2	19	13.71771195	572.213855883425	CH4	warmed
1	2	19	12.22983215	510.149173336343	CH4	warmed
2	2	19	12.6665684	528.366973398588	CH4	warmed
4	2	19	12.02347487	501.541287756823	CH4	warmed
8	2	19	11.98533118	499.950180725849	CH4	warmed
24	2	19	11.70792639	488.378654431595	CH4	warmed
48	2	19	11.49226117	479.382502043649	CH4	warmed
72	2	19	11.29398514	471.111713732224	CH4	warmed
120	2	19	9.25173256	385.922199055932	CH4	warmed
240	2	19	5.59881737	233.546300385379	CH4	warmed
360	2	19	3.1569263	131.686463270779	CH4	warmed
480	2	19	1.81901912	NA	CH4	warmed
600	2	19	1.03240201	NA	CH4	warmed
720	2	19	0.56308973	NA	CH4	warmed
840	2	19	0.18131401	NA	CH4	warmed
0	4	19	13.69592031	571.30485018365	CH4	warmed
1	4	19	12.55613618	523.760458358012	CH4	warmed
2	4	19	12.11229613	505.246333893838	CH4	warmed
4	4	19	12.45611716	519.588314395193	CH4	warmed
8	4	19	12.03540488	502.038930297191	CH4	warmed
24	4	19	10.95247492	456.86612521702	CH4	warmed
48	4	19	9.428136013	393.280605501569	CH4	warmed
72	4	19	7.58788456	316.517265991717	CH4	warmed
120	4	19	3.8049896	158.719455441863	CH4	warmed
240	4	19	0.38230262	NA	CH4	warmed
360	4	19	-0.2672133	NA	CH4	warmed
480	4	19	-0.1611127	NA	CH4	warmed
600	4	19	-0.0587801	NA	CH4	warmed
720	4	19	-0.0909976	NA	CH4	warmed
840	4	19	-0.1705338	NA	CH4	warmed
0	5	19	13.15286957	548.652300034735	CH4	warmed
1	5	19	12.60771718	525.912082696524	CH4	warmed
2	5	19	12.71379868	530.337113953497	CH4	warmed
4	5	19	11.68068565	487.242347667804	CH4	warmed
8	5	19	11.73421616	489.475292902852	CH4	warmed
24	5	19	9.064680709	378.119610599418	CH4	warmed
48	5	19	6.023287932	251.252455601083	CH4	warmed
72	5	19	3.732284027	155.686651106695	CH4	warmed
120	5	19	0.72966163	NA	CH4	warmed
240	5	19	-0.2050063	NA	CH4	warmed
360	5	19	-0.3270855	NA	CH4	warmed
480	5	19	-0.1476847	NA	CH4	warmed
600	5	19	NA	NA	CH4	warmed
720	5	19	-0.0870734	NA	CH4	warmed
840	5	19	-0.1682919	NA	CH4	warmed
0	1	19	13.17199372	549.450035375138	CH4	unwarmed
1	1	19	12.47734772	520.473915481179	CH4	unwarmed
2	1	19	12.33614664	514.583923423014	CH4	unwarmed
4	1	19	12.50864914	521.779607443375	CH4	unwarmed
8	1	19	11.73794399	489.630793760878	CH4	unwarmed
24	1	19	10.68180779	445.575650341711	CH4	unwarmed
48	1	19	8.835660539	368.566376428265	CH4	unwarmed
72	1	19	6.650316656	277.408021865886	CH4	unwarmed
120	1	19	3.95390486	164.931232991579	CH4	unwarmed
240	1	19	1.01944561	NA	CH4	unwarmed
360	1	19	-0.040772	NA	CH4	unwarmed
480	1	19	-0.3736199	NA	CH4	unwarmed
600	1	19	-0.0513903	NA	CH4	unwarmed
720	1	19	-0.0792638	NA	CH4	unwarmed
840	1	19	-0.1672488	NA	CH4	unwarmed
0	2	19	13.16560316	549.183462714028	CH4	unwarmed
1	2	19	12.47131853	520.222416829631	CH4	unwarmed
2	2	19	12.25834245	511.338437898455	CH4	unwarmed
4	2	19	12.26327802	511.544317825879	CH4	unwarmed
8	2	19	11.70069421	488.076974849801	CH4	unwarmed
24	2	19	10.08525098	420.691174435828	CH4	unwarmed
48	2	19	7.331907801	305.839577991137	CH4	unwarmed
72	2	19	5.191585995	216.559252095196	CH4	unwarmed
120	2	19	2.44846912	102.134230640898	CH4	unwarmed
240	2	19	0.30377694	NA	CH4	unwarmed
360	2	19	-0.2615937	NA	CH4	unwarmed
480	2	19	-0.4027603	NA	CH4	unwarmed
600	2	19	-0.0595809	NA	CH4	unwarmed
720	2	19	-0.0878232	NA	CH4	unwarmed
840	2	19	-0.1698966	NA	CH4	unwarmed
0	4	19	12.84320765	535.735215763734	CH4	unwarmed
1	4	19	12.89049498	537.707736074144	CH4	unwarmed
2	4	19	12.77362465	532.832664895261	CH4	unwarmed
4	4	19	12.4028672	517.367071884175	CH4	unwarmed
8	4	19	12.65895107	528.049227860067	CH4	unwarmed
24	4	19	12.60066673	525.617983710125	CH4	unwarmed
48	4	19	11.81442995	492.821291290791	CH4	unwarmed
