time	replicate	soil_type	inc_temp	ppmv	gas	group	nmol_l
24	1	Heat-Killed	13	10.34931139	CO	1_Heat-Killed_13_CO	431.70590678096556
48	1	Heat-Killed	13	10.97822625	CO	1_Heat-Killed_13_CO	457.9401410882516
0	2	Heat-Killed	13	9.727177648	CO	2_Heat-Killed_13_CO	405.75453657785624
1	2	Heat-Killed	13	9.770530163	CO	2_Heat-Killed_13_CO	407.56292131902796
2	2	Heat-Killed	13	9.744260663	CO	2_Heat-Killed_13_CO	406.4671287690869
4	2	Heat-Killed	13	9.729044398	CO	2_Heat-Killed_13_CO	405.8324052370466
8	2	Heat-Killed	13	9.764106305	CO	2_Heat-Killed_13_CO	407.2949597766202
24	2	Heat-Killed	13	9.872101015	CO	2_Heat-Killed_13_CO	411.79979613251015
48	2	Heat-Killed	13	9.970314716	CO	2_Heat-Killed_13_CO	415.8966324582089
0	1	Blank	19	11.02315643	CO	1_Blank_19_CO	459.8143357440886
1	1	Blank	19	11.02562316	CO	1_Blank_19_CO	459.9172316635662
2	1	Blank	19	11.24150076	CO	1_Blank_19_CO	468.92223997279035
4	1	Blank	19	10.94091851	CO	1_Blank_19_CO	456.383905014206
8	1	Blank	19	10.95648522	CO	1_Blank_19_CO	457.0332468305745
24	1	Blank	19	10.91089233	CO	1_Blank_19_CO	455.13140822716434
48	1	Blank	19	10.81167367	CO	1_Blank_19_CO	450.9926515533358
0	2	Blank	19	10.94420067	CO	2_Blank_19_CO	456.52081536559126
1	2	Blank	19	10.88467874	CO	2_Blank_19_CO	454.03794787850103
2	2	Blank	19	10.8645972	CO	2_Blank_19_CO	453.2002767418847
4	2	Blank	19	10.85751609	CO	2_Blank_19_CO	452.9048989241374
8	2	Blank	19	10.88299062	CO	2_Blank_19_CO	453.9675305001951
24	2	Blank	19	10.87755945	CO	2_Blank_19_CO	453.7409774396701
48	2	Blank	19	10.75188857	CO	2_Blank_19_CO	448.498806326838
